Course ID;Course Title;Is Paid;Price;Subscribers;Reviews;Lectures;Level;Duration;Publish Date;Subject,,,,,,
868884;Mastering Planning Vol 1: Hourly and Daily Planning;TRUE;$199,00;17.377;409;33;Intermediate Level;4.7 hours;2016-06-05;Public Speaking,,,,,
3757758;NodeJs: Beginner Practical Guide - E-Commerce Web API [2022];TRUE;$99,00;48.377;554;79;Intermediate Level;5.8 hours;2021-01-08;Web Development,,,,,
1978132;The Project Management Course: Beginner to PROject Manager;TRUE;$199,00;94.503;25.203;101;All Levels;7.3 hours;2018-10-25;Business Finance,,,,,
1885190;Full Stack Website Development : Technologies All in One;FALSE;Free;46.507;1.143;13;All Levels;55 mins;2018-09-11;Web Development,,,,,,
1368590;Blogging For Beginners: Start a Blog Discover Passive Income;TRUE;$149,00;70.081;526;28;All Levels;2.6 hours;2017-10-03;Business Finance,,,,,
751792;Business Analysis Fundamentals - 2022;TRUE;$199,00;146.759;40.948;69;Beginner Level;8.8 hours;2016-02-21;Business Finance,,,,,
4139386;SQL Masterclass for Data Analysis with BigData;TRUE;$19,00;40.139;388;84;All Levels;7.9 hours;2021-07-04;Business Finance,,,,,
3281440;Use Canva like a pro : From basics to advance;TRUE;$19,00;20.480;407;13;Beginner Level;48 mins;2020-08-08;Graphic Design,,,,,
1269254;MBA in a Box: Business Lessons from a CEO;TRUE;$189,00;81.473;13.944;187;All Levels;11.5 hours;2017-06-28;Business Finance,,,,,
3308996;Reverse Engineering 6: Reversing .NET with dnSpy;TRUE;$19,00;41.137;195;16;Beginner Level;1.9 hours;2020-07-10;Cyber Security,,,,,
2856712;HTML5 and CSS3 Certification Training (beginner to expert);TRUE;$199,00;39.785;244;17;All Levels;11.1 hours;2020-03-23;Web Development,,,,,
440470;Producing Drums with Ableton Live and Drum Rack;FALSE;Free;13.071;411;9;All Levels;1.1 hours;2015-04-05;Musical Instruments,,,,,,
3742960;Full Stack Programming for Complete Beginners in Python;TRUE;$39,00;114.192;1.560;81;Intermediate Level;9.3 hours;2021-04-27;Web Development,,,,,
2018512;FL Studio 20 Workflow - Learn How To Work Fast in FL Studio;TRUE;$189,00;4.835;356;21;Beginner Level;1.7 hours;2018-11-22;Musical Instruments,,,,,
1315262;DevOps: CI/CD with Jenkins pipelines, Maven, Gradle;TRUE;$189,00;42.900;11.403;30;All Levels;3.5 hours;2017-08-09;Web Development,,,
2058283;NLP - Natural Language Processing with Python;TRUE;$199,00;61.105;11.935;80;Intermediate Level;11.4 hours;2018-12-18;Web Development,,,,,
2738212;The Complete Sketchup & Vray Course for Interior Design;TRUE;$159,00;19.733;2.770;167;All Levels;20.1 hours;2020-02-06;Graphic Design,,,,,
1106152;First Steps in Java;FALSE;Free;39.545;1.359;42;Intermediate Level;2.9 hours;2017-02-08;Cyber Security,,,,,,
847782;Windows 10 Foundation Level Training;TRUE;$199,00;12.248;122;11;Beginner Level;1.8 hours;2016-05-31;Excel Basic,,,,,
3716984;PowerPoint efficiency and productivity;TRUE;$129,00;10.151;70;56;All Levels;6.2 hours;2021-01-24;Excel Basic,,,,,
1163876;Help! I'm A Native Speaker But No One Understands My English;TRUE;$199,00;41.889;241;25;All Levels;3 hours;2017-05-18;Business Finance,,,,,
943296;Understanding Docker and using it for Selenium automation;TRUE;$19,00;58.718;3.350;46;All Levels;5.8 hours;2016-08-28;Web Development,,,,,
1735956;DevOps - The Introduction Course;FALSE;Free;82.607;3.478;21;Beginner Level;2.2 hours;2018-10-10;Cyber Security,,,,,,
3836058;The Python Developer Essentials 2022 Immersive Bootcamp;TRUE;$149,00;188.872;2.360;79;Beginner Level;5.6 hours;2021-02-24;Web Development,,,,,
942752;Master Course in Tableau for Business Intelligence;TRUE;$59,00;25.517;6.033;66;All Levels;9.2 hours;2017-01-12;Business Finance,,,,,
1349660;Linux Shell Scripting: A Project-Based Approach to Learning;TRUE;$199,00;79.284;10.710;49;All Levels;12.2 hours;2017-09-28;Cyber Security,,,,,
2650494;Adobe Photoshop Filters Basics Guide;TRUE;$199,00;20.820;42;17;Intermediate Level;1 hour;2019-11-23;Graphic Design,,,,,
